id,latitude,longitude,rating,order_count,total_trip
0,-7.293716999989942,112.74726399976018,1,180,1571.3999999998664
1,-7.360641999999297,112.71634999983823,0,71,143.56199999999984
2,-7.2579479999849426,112.73177699979928,3,83,489.2019999999644
3,-7.229903999981023,112.66032099997969,0,36,191.48399999998685
4,-7.2838389999885615,112.76412499971761,1,171,816.8669999999477
5,-7.346442999997312,112.73909999978079,3,17,76.85699999999527
6,-7.323240999994069,112.71456599984273,5,183,1142.1029999999143
7,-7.278140999987765,112.66878399995832,3,68,207.53599999999213
8,-7.332521999995366,112.73042699980269,1,191,1472.22799999988
9,-7.260706999985328,112.66511199996759,5,78,330.56399999998075
10,-7.236031999981879,112.76883299970572,2,50,314.49999999997635
11,-7.304011999991381,112.73056199980235,0,39,347.5679999999703
12,-7.310660999992311,112.66520699996735,3,129,428.6669999999812
13,-7.239924999982423,112.77079399970077,4,88,312.8399999999849
14,-7.361076999999358,112.73927299978035,1,191,1556.2679999998707
15,-7.361984999999485,112.6971509998867,0,29,238.35099999998016
16,-7.275804999987439,112.70706699986167,4,82,752.8419999999351
17,-7.267632999986296,112.68033499992916,4,18,50.59799999999839
18,-7.31137099999241,112.76566799971371,1,39,385.3979999999661
19,-7.353134999998248,112.78223699967188,4,38,326.07799999997246
20,-7.309191999992105,112.7244009998179,0,184,656.3279999999683
21,-7.311123999992375,112.68026599992933,0,41,293.3549999999767
22,-7.340099999996426,112.73479699979166,5,129,718.1429999999493
23,-7.357849999998907,112.70671999986254,3,153,1015.6139999999218
24,-7.2486469999836425,112.76494599971554,2,53,390.2389999999687
25,-7.303869999991361,112.73582899978905,1,30,64.07999999999956
26,-7.324626999994263,112.70874599985743,3,68,416.6359999999691
27,-7.249763999983799,112.76528899971467,2,34,111.6899999999952
28,-7.258479999985017,112.66299499997294,2,148,718.2439999999534
29,-7.297785999990511,112.76817399970739,2,23,136.78099999999
30,-7.360474999999274,112.67175899995081,1,191,779.2799999999562
31,-7.356820999998763,112.68302299992237,3,132,1317.491999999884
32,-7.316867999993178,112.69535799989123,4,19,178.5999999999845
33,-7.3080199999919415,112.71922099983098,2,75,542.1749999999568
34,-7.267539999986283,112.71941899983048,1,64,592.3839999999489
35,-7.229770999981004,112.7055889998654,5,108,900.6119999999246
36,-7.254257999984427,112.6743389999443,1,64,466.8799999999627
37,-7.2710469999867735,112.7151359998413,3,188,384.45999999999907
38,-7.356361999998699,112.7005599998781,0,88,855.9759999999252
39,-7.235450999981798,112.66645899996419,0,82,719.5499999999389
40,-7.299265999990718,112.71191599984942,0,153,1037.6459999999195
41,-7.324004999994176,112.68458999991842,0,178,1043.4359999999242
42,-7.316356999993107,112.65755599998667,1,88,455.48799999996925
43,-7.350090999997822,112.7686819997061,2,132,922.0199999999274
44,-7.311929999992488,112.77915399967966,2,135,774.7649999999445
45,-7.2879669999891386,112.77461799969112,2,147,1326.3809999998864
46,-7.337547999996069,112.71368599984496,5,25,155.19999999998842
47,-7.257890999984935,112.683169999922,5,78,288.2099999999854
48,-7.243018999982856,112.71511799984134,1,107,683.3019999999483
49,-7.289108999989298,112.6804389999289,2,169,692.2239999999609
50,-7.228427999980816,112.7576719997339,5,30,176.57999999998717
51,-7.347390999997445,112.74643999976226,1,71,478.32699999996294
52,-7.352641999998179,112.67478899994316,3,90,708.9299999999417
53,-7.285150999988745,112.78503299966482,5,184,400.19999999999646
54,-7.314123999992795,112.73084799980163,2,110,334.72999999998734
55,-7.332699999995391,112.73438899979269,5,190,759.8099999999582
56,-7.246353999983322,112.68888399990757,5,159,1373.4419999998838
57,-7.3618769999994695,112.68219199992447,2,77,343.26599999997916
58,-7.247090999983425,112.72082399982693,0,67,260.763999999986
59,-7.3507229999979105,112.770305999702,4,154,644.027999999963
60,-7.275903999987452,112.68212499992464,4,115,354.08499999998634
61,-7.247011999983414,112.71611599983882,0,133,993.6429999999199
62,-7.3037129999913395,112.76616499971246,3,170,594.4899999999719
63,-7.271136999986786,112.69690399988733,2,57,539.1629999999532
64,-7.275351999987375,112.74844099975721,0,134,1023.8939999999167
65,-7.35086299999793,112.73217599979827,3,165,1017.8849999999242
66,-7.239583999982376,112.6839999999199,4,107,900.6189999999243
67,-7.285497999988793,112.67321299994714,2,33,230.70299999998187
68,-7.2627909999856195,112.6771479999372,3,22,94.22599999999449
