id,latitude,longitude,rating_client
0,-7.250317999983876,112.68898399990732,5
1,-7.3494709999977355,112.69903299988195,1
2,-7.312413999992556,112.76892399970549,4
3,-7.332430999995354,112.67340899994664,4
4,-7.2686999999864454,112.65469599999389,2
5,-7.283033999988449,112.7348569997915,5
6,-7.30936899999213,112.68582999991528,2
7,-7.245004999983133,112.78902299965475,3
8,-7.330407999995071,112.78625999966172,1
9,-7.297114999990417,112.66203699997536,5
10,-7.294120999989999,112.71245899984805,2
11,-7.228638999980846,112.73235799979781,2
12,-7.287180999989029,112.72923899980569,4
13,-7.28003699998803,112.74900699975578,1
14,-7.2752179999873565,112.77423599969208,1
15,-7.292223999989734,112.7331949997957,4
16,-7.356638999998737,112.69538699989116,2
17,-7.331638999995243,112.73211799979842,3
18,-7.344647999997061,112.7080049998593,4
19,-7.3142729999928155,112.65756999998663,4
20,-7.278481999987813,112.66457499996895,2
21,-7.310099999992232,112.69839299988357,2
22,-7.303171999991264,112.78954699965342,3
23,-7.2643859999858424,112.70916199985638,3
24,-7.328598999994818,112.68816599990939,2
25,-7.32711099999461,112.70785699985967,1
26,-7.345671999997204,112.66774199996095,1
27,-7.266849999986187,112.67466399994348,5
28,-7.3578629999989085,112.70201199987443,1
29,-7.241852999982693,112.77395699969279,1
30,-7.237381999982068,112.71714299983623,4
31,-7.3253899999943695,112.75326599974503,4
32,-7.357682999998883,112.7523649997473,1
33,-7.277930999987736,112.66813599995996,1
34,-7.316505999993128,112.76459699971642,1
35,-7.339250999996307,112.69001099990473,5
36,-7.347305999997433,112.7542649997425,1
37,-7.271588999986849,112.70355699987053,2
38,-7.284638999988673,112.7562879997374,5
39,-7.353895999998354,112.68101899992743,1
40,-7.266622999986155,112.65505899999297,2
41,-7.239333999982341,112.75518899974017,4
42,-7.340756999996517,112.69752099988577,3
43,-7.315350999992966,112.77617599968718,4
44,-7.334379999995626,112.72975799980438,4
45,-7.355256999998544,112.65479599999364,4
46,-7.305958999991653,112.70837399985837,2
47,-7.307609999991884,112.73108899980102,3
48,-7.348917999997658,112.70628099986365,1
49,-7.349765999997777,112.77742699968402,4
50,-7.3321649999953165,112.75310199974544,2
51,-7.313716999992738,112.73817299978313,3
52,-7.3474319999974504,112.77330699969443,1
53,-7.292361999989753,112.67594599994024,3
54,-7.313697999992735,112.6602389999799,5
55,-7.307014999991801,112.74063699977691,2
56,-7.262818999985623,112.67334299994681,3
57,-7.364478999999833,112.65299599999818,1
58,-7.291563999989641,112.7344619997925,1
59,-7.253589999984333,112.77234399969686,5
60,-7.253331999984297,112.6646359999688,4
61,-7.287294999989045,112.653069999998,4
62,-7.270918999986756,112.7633759997195,5
63,-7.365377999999959,112.72255099982257,4
64,-7.323812999994149,112.69404599989454,5
65,-7.299125999990698,112.78495699966501,1
66,-7.3290529999948815,112.76433899971707,4
67,-7.298749999990646,112.70221599987391,3
68,-7.356924999998777,112.70445899986825,1
69,-7.356951999998781,112.78604599966226,5
70,-7.252500999984181,112.70985899985462,3
71,-7.312202999992526,112.66199399997546,4
72,-7.351914999998077,112.76037799972707,3
73,-7.333732999995536,112.65391999999585,3
74,-7.280449999988088,112.71538599984066,2
75,-7.31694999999319,112.66780899996078,2
76,-7.2760189999874685,112.68682599991277,5
77,-7.279916999988013,112.72134699982561,5
78,-7.261757999985475,112.76536899971447,4
79,-7.355525999998582,112.76957099970386,3
80,-7.249747999983796,112.66521899996732,5
81,-7.2787449999878495,112.68882599990772,4
82,-7.364211999999796,112.77793399968274,2
83,-7.297485999990469,112.69759299988559,3
84,-7.358840999999045,112.77227799969702,5
85,-7.362006999999488,112.69661299988806,4
86,-7.310540999992294,112.74568599976416,4
87,-7.289490999989352,112.66149699997672,5
88,-7.28325499998848,112.70555699986548,2
89,-7.296024999990265,112.7283999998078,5
90,-7.344086999996983,112.78620599966186,1
91,-7.267103999986222,112.6672109999623,1
92,-7.332217999995324,112.75159799974924,4
93,-7.247076999983423,112.67944999993139,4
94,-7.233468999981521,112.72295999982154,3
95,-7.242487999982782,112.68082299992793,2
96,-7.254532999984465,112.68444899991877,5
97,-7.2674699999862735,112.73305699979605,5
98,-7.340876999996534,112.72671699981206,1
99,-7.325877999994438,112.7506619997516,2
100,-7.230563999981115,112.66096799997806,5
101,-7.361780999999456,112.73273799979685,5
102,-7.268478999986415,112.7102249998537,2
103,-7.328691999994831,112.68902399990722,4
104,-7.339752999996377,112.69779299988508,2
105,-7.328378999994787,112.70627599986366,4
106,-7.347302999997432,112.75214399974786,1
107,-7.317990999993335,112.74429999976766,4
108,-7.236762999981981,112.65850099998428,4
109,-7.329742999994978,112.78909399965457,5
110,-7.34700199999739,112.78552499966358,4
111,-7.355450999998571,112.77665899968596,5
112,-7.352775999998197,112.69286899989751,4
113,-7.239793999982405,112.71682399983703,2
114,-7.303391999991295,112.69703999988698,5
115,-7.231446999981238,112.73359499979469,1
116,-7.273268999987084,112.7133119998459,2
117,-7.2821219999883215,112.70783199985974,3
118,-7.336724999995954,112.71706099983643,4
119,-7.2534189999843095,112.68324599992181,4
120,-7.330368999995065,112.79031499965149,4
121,-7.302082999991112,112.72502399981633,1
122,-7.254847999984509,112.75985399972839,3
123,-7.360464999999272,112.71116299985133,2
124,-7.339420999996331,112.67167199995103,4
125,-7.248434999983613,112.67534799994175,2
126,-7.308681999992034,112.76221499972243,2
127,-7.352806999998202,112.6694279999567,1
128,-7.255760999984637,112.66417899996995,1
129,-7.258132999984968,112.65303499999808,1
130,-7.339420999996331,112.72226899982329,1
131,-7.268559999986426,112.70516599986647,2
132,-7.348522999997603,112.74718499976038,5
133,-7.284636999988673,112.76486299971575,3
134,-7.253298999984293,112.68491999991758,2
135,-7.3477879999975,112.76809699970758,2
136,-7.2741009999872,112.78719099965937,3
137,-7.253772999984359,112.7314909998,3
138,-7.332363999995344,112.685152999917,4
139,-7.256761999984777,112.77665299968598,4
140,-7.277512999987677,112.74801299975829,2
141,-7.269776999986596,112.65764799998644,5
142,-7.258521999985023,112.78402299966737,3
143,-7.3570049999987885,112.73317999979574,3
144,-7.349453999997733,112.65616999999017,1
145,-7.327076999994605,112.72993999980392,2
146,-7.349367999997721,112.7530389997456,4
147,-7.325101999994329,112.75562899973906,1
148,-7.23095999998117,112.73757599978464,2
149,-7.309734999992181,112.71265699984755,5
150,-7.242425999982773,112.71492599984182,5
151,-7.276189999987492,112.65237499999975,1
152,-7.327029999994599,112.75068099975155,2
153,-7.291669999989656,112.65359399999667,4
154,-7.272220999986938,112.66461599996885,4
155,-7.2510649999839805,112.69649299988836,2
156,-7.246788999983383,112.73171799979943,2
157,-7.350256999997845,112.69301999989713,4
158,-7.311661999992451,112.65385599999601,2
159,-7.331303999995196,112.73853899978221,4
160,-7.231466999981241,112.77184699969811,4
161,-7.292043999989708,112.76874599970594,2
162,-7.271254999986803,112.79019599965179,4
163,-7.2873659999890545,112.66334299997206,5
